"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000279457",29.9135794276176,0.179257083672691,0.324821565250144,0.551863246932653,0.581042050747029,0.686554777832896,NA,NA
"ENSG00000187634",183.229649921658,0.426457118403307,0.140265820376891,3.04034951107424,0.00236303749730971,0.00515718149494307,"SAMD11","148398"
"ENSG00000188976",1651.18807619944,-0.692720464846367,0.0548465415913881,-12.6301576133496,1.43989540153787e-36,1.76548905389893e-35,"NOC2L","26155"
"ENSG00000187961",209.637938486147,0.729755610585225,0.131859899969348,5.53432552849551,3.12428248077882e-08,1.1341299310768e-07,"KLHL17","339451"
"ENSG00000187583",47.2551232589398,0.0405765278756306,0.271892808601772,0.149237223611386,0.881366448669148,0.919030615571382,"PLEKHN1","84069"
"ENSG00000187642",11.9797501642461,0.542810491577361,0.521559849534146,1.04074439790984,0.297994191720984,0.403379309754099,"PERM1","84808"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993837,10.4469696794189,1.51281875407433e-25,1.30538189681192e-24,"HES4","57801"
"ENSG00000187608",350.71686801731,0.257383686481772,0.102726560033547,2.50552229528292,0.01222706894099,0.0237452288908038,"ISG15","9636"
"ENSG00000188157",9128.439421961,0.389908792022771,0.0467163395511497,8.34630443585718,7.0432114877135e-17,4.21962808560657e-16,"AGRN","375790"
"ENSG00000237330",0.158192358990472,0.785955208142751,4.0804728567969,0.192613757210411,0.847261469988086,NA,"RNF223","401934"
"ENSG00000131591",156.479083393338,0.196592348543654,0.145610917129247,1.35012094161288,0.176977192005123,0.261745093404065,"C1orf159","54991"
"ENSG00000186891",0.732334495547826,-0.311843033892278,2.29432959164861,-0.135919021847336,0.891885297764806,0.926394074174199,"TNFRSF18","8784"
"ENSG00000186827",0.774563363005392,1.72578824180931,2.027222329879,0.851306843049778,0.394598924610234,0.508934886751171,"TNFRSF4","7293"
"ENSG00000078808",4600.33028600984,0.386628861206272,0.0483324364781529,7.99936625129659,1.25061211583925e-15,7.0890466781688e-15,"SDF4","51150"
"ENSG00000176022",903.070312267806,0.425079342747299,0.0745779843229775,5.69979661700688,1.19950446644778e-08,4.50173079361025e-08,"B3GALT6","126792"
"ENSG00000184163",4.52322235705183,0.328034737205598,0.844006620099536,0.388663701674416,0.697524937134858,0.783293353056157,"C1QTNF12","388581"
"ENSG00000160087",1226.36024604796,0.430326257302023,0.0633109392294929,6.79702848416373,1.06798988680951e-11,4.92954430059458e-11,"UBE2J2","118424"
"ENSG00000162572",31.7776688322821,0.810145939917119,0.320430204352816,2.52830703507929,0.0114614071029092,0.022391068118064,"SCNN1D","6339"
"ENSG00000131584",1067.09073092054,0.582146204655292,0.0670714173686746,8.67949757875821,3.97520932177837e-18,2.52855567476778e-17,"ACAP3","116983"
"ENSG00000169972",227.376248317606,0.0839217292579036,0.121698882258048,0.689585045489221,0.490455174370899,0.602963660316842,"PUSL1","126789"
"ENSG00000127054",922.15171909075,-0.209496874766819,0.0727879689671138,-2.87817997588958,0.00399976875647152,0.0084308626906289,"INTS11","54973"
"ENSG00000224051",299.70151191683,-0.216411081372189,0.108761452223984,-1.98977741605095,0.0466154602905489,0.0804283134818672,"CPTP","80772"
"ENSG00000169962",5.84091826930333,0.0582910464706815,0.735677202178209,0.0792345424026898,0.936846070086016,0.957107817893227,"TAS1R3","83756"
"ENSG00000107404",996.838159268406,-0.144513678508733,0.0649756414671937,-2.22412084352716,0.0261403148786272,0.0475302321459815,"DVL1","1855"
"ENSG00000162576",5438.1255159644,0.5162154831316,0.0418318418467676,12.340252313597,5.49833078343868e-35,6.45178336674517e-34,"MXRA8","54587"
"ENSG00000175756",1068.65776669111,0.0974793333116618,0.0657020202953119,1.48365808042919,0.137899652570433,0.211001357930133,"AURKAIP1","54998"
"ENSG00000221978",1362.3522672541,0.487093287454534,0.0609097051687454,7.99697332477775,1.27514850257954e-15,7.22535126144456e-15,"CCNL2","81669"
"ENSG00000242485",665.629405355783,-0.119697711313019,0.0763055945682456,-1.56866232404447,0.116726641897752,0.181909405550288,"MRPL20","55052"
"ENSG00000235098",1.24671988581422,-0.0591200275867562,1.57049165078444,-0.0376442800935788,0.969971302515186,0.978804317457638,"ANKRD65","441869"
"ENSG00000179403",108.929842536121,0.165405859799455,0.175992761709809,0.939844674249671,0.347297239686091,0.458890686614094,"VWA1","64856"
"ENSG00000215915",0.543603841878244,0.78468107499181,2.42042057965419,0.324192035709727,0.745792651342108,0.820915389229187,"ATAD3C","219293"
"ENSG00000160072",423.792449298593,-0.791803457110144,0.0978592141321848,-8.09125092748654,5.90550517275488e-16,3.40380661853975e-15,"ATAD3B","83858"
"ENSG00000197785",708.708441641375,-0.664367837986054,0.0811918784372513,-8.1826883522532,2.77580386149966e-16,1.62276070253003e-15,"ATAD3A","55210"
"ENSG00000205090",40.4750829217052,0.49789432713164,0.293990305983404,1.69357396144806,0.0903462694529667,0.145188454824755,"TMEM240","339453"
"ENSG00000160075",1860.23851801681,0.0489569115056405,0.0522188415930462,0.937533465165185,0.348484217989444,0.459990070258213,"SSU72","29101"
"ENSG00000228594",176.877295844935,0.336425158973394,0.140976553209655,2.38639086652285,0.0170146565168381,0.0321448542167876,"FNDC10","643988"
"ENSG00000197530",749.024212554717,0.419464859464611,0.0731092057622803,5.73751082495043,9.60781407181276e-09,3.62426321449646e-08,"MIB2","142678"
"ENSG00000189409",2.55268355396294,-0.038551708777202,1.09981214357724,-0.0350529942793766,0.972037483486969,0.980419410869898,"MMP23B","8510"
